Seperator Type,TP : ColRec,TP : Uterine,FP : ColRec,FP : Uterine,FN : ColRec,FN : Uterine,TN : ColRec,TN : Uterine,Accuracy : ColRec,Accuracy : Uterine,Sensitivity : ColRec,Sensitivity : Uterine,Specificity : ColRec,Specificity : Uterine,Precision : ColRec,Precision : Uterine,Miss Rate : ColRec,Miss Rate : Uterine,False discovery rate : ColRec,False discovery rate : Uterine,False omission rate : ColRec,False omission rate : Uterine,ROC_AUC : ColRec,ROC_AUC : Uterine,PR Logistic : ColRec,PR Logistic : Uterine,Included Muts
Chi>15.36,27.09090909,6.090909091,19,0.909090909,82.90909091,3.818181818,231,12.18181818,0.716919192,0.794466403,0.246280992,0.58790452,0.924,0.924125043,0.587719938,0.86025641,0.753719008,0.41209548,0.412280062,0.13974359,0.264116183,0.237773456,0.576299174,0.784093317,0.49821998,0.830662728,25
Chi>7.68,29.18181818,6.818181818,22.27272727,0.727272727,80.81818182,3.181818182,227.7272727,12.27272727,0.713636364,0.830039526,0.265289256,0.681680441,0.910909091,0.939425726,0.567132324,0.912075298,0.734710744,0.318319559,0.432867676,0.087924702,0.261930143,0.204977685,0.578391736,0.84362153,0.497706102,0.872682134,31
Pval<0.005,29,5.909090909,23.72727273,0.181818182,81,3.363636364,226.2727273,13.54545455,0.709090909,0.845849802,0.263636364,0.640121999,0.905090909,0.986387944,0.550154374,0.973484848,0.736363636,0.359878001,0.449845626,0.026515152,0.263611528,0.204879434,0.589128926,0.79711091,0.49916211,0.869058349,22
All,36.54545455,7.272727273,35.27272727,0.454545455,73.45454545,1.909090909,214.7272727,13.36363636,0.697979798,0.897233202,0.332231405,0.787157287,0.858909091,0.965574199,0.509233972,0.945707071,0.667768595,0.212842713,0.490766028,0.054292929,0.254899205,0.122652036,0.572879339,0.892414025,0.462169295,0.903634454,540
FP=0,36.36363636,6.454545455,35.27272727,0,73.63636364,3.181818182,214.7272727,13.36363636,0.697474747,0.861660079,0.330578512,0.670890221,0.858909091,1,0.507881345,1,0.669421488,0.329109779,0.492118655,0,0.255365307,0.196279237,0.580732231,0.83437794,0.456570044,0.911734763,470
Chi>3.84,30.36363636,5.818181818,29.54545455,1.090909091,79.63636364,3.636363636,220.4545455,12.45454545,0.696717172,0.794466403,0.276033058,0.622727273,0.881818182,0.917913526,0.50781391,0.846645022,0.723966942,0.377272727,0.49218609,0.153354978,0.265387889,0.225571294,0.559596694,0.779477845,0.460673864,0.815562399,99
Pval<0.05,35.36363636,5.909090909,37.54545455,0.272727273,74.63636364,3.363636364,212.4545455,13.45454545,0.688383838,0.841897233,0.321487603,0.629752066,0.849818182,0.981665393,0.485240535,0.94534632,0.678512397,0.370247934,0.514759465,0.05465368,0.259971408,0.202724615,0.588214876,0.826874859,0.466132362,0.880847742,113
TP-2FP>3,35.36363636,6.636363636,38.36363636,0.636363636,74.63636364,3.363636364,211.6363636,12.36363636,0.686111111,0.826086957,0.321487603,0.66598944,0.846545455,0.93991009,0.480936892,0.92412764,0.678512397,0.33401056,0.519063108,0.07587236,0.260747213,0.221387539,0.585203306,0.835926217,0.465092795,0.860890701,113
TP-2FP>2,36.27272727,6.545454545,39.36363636,0.272727273,73.72727273,3.909090909,210.6363636,12.27272727,0.685858586,0.818181818,0.329752066,0.626262626,0.842545455,0.977855478,0.480312376,0.962121212,0.670247934,0.373737374,0.519687624,0.037878788,0.2592901,0.240230031,0.578704132,0.819788797,0.455512381,0.897564978,231
Pval<0.01,32.81818182,6.363636364,36.18181818,0.454545455,77.18181818,3.090909091,213.8181818,13.09090909,0.68510101,0.845849802,0.298347107,0.667640693,0.855272727,0.966179654,0.475850577,0.936002886,0.701652893,0.332359307,0.524149423,0.063997114,0.265233882,0.191599332,0.585095868,0.824508888,0.468120631,0.876978946,33
TP-2FP>4,32,5.636363636,38.18181818,0.363636364,78,3.545454545,211.8181818,13.45454545,0.677272727,0.830039526,0.290909091,0.622763348,0.847272727,0.972687918,0.456194422,0.942857143,0.709090909,0.377236652,0.543805578,0.057142857,0.269142279,0.208296197,0.57854876,0.821001095,0.464210701,0.876316347,58
TP3_FP0,34.90909091,5.636363636,42.18181818,0,75.09090909,2.909090909,207.8181818,14.45454545,0.674242424,0.873517787,0.317355372,0.66365932,0.831272727,1,0.453669612,1,0.682644628,0.33634068,0.546330388,0,0.265444282,0.168653642,0.586499174,0.844519585,0.465707103,0.898144987,106
TP4_FP0,31.90909091,5.636363636,39.27272727,0,78.09090909,3.636363636,210.7272727,13.72727273,0.673989899,0.841897233,0.290082645,0.60547836,0.842909091,1,0.448414728,1,0.709917355,0.39452164,0.551585272,0,0.27038483,0.210548988,0.578264463,0.810314938,0.467715431,0.886102457,54
