Seperator Type,Mutation Amount,TP,FP,FN,TN,Accuracy Test set,Accuracy Validation Set,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,roc_auc
Chi>3.84,739,8.6,1,2.2,13.2,0.868438735,0.872,0.80470696,0.932734129,0.893437118,0.19529304,0.106562882,0.143946078,0.931740289
Pval<0.05,845,7.5,0.7,3.3,13.5,0.843359684,0.84,0.704030692,0.954852941,0.929166667,0.295969308,0.070833333,0.189110106,0.926489125
Forest,174,7.4,1,3.4,13.2,0.842114625,0.824,0.679267677,0.925773491,0.893589744,0.320732323,0.106410256,0.202031499,0.945663346
Chi>7.68,383,7.9,1.2,2.9,13,0.838339921,0.836,0.735995948,0.910986524,0.863997114,0.264004052,0.136002886,0.193504675,0.924707869
Pval<0.01,326,7.2,0.8,3.6,13.4,0.835948617,0.824,0.659967532,0.943941573,0.907380952,0.340032468,0.092619048,0.204720455,0.906458014
Chi>15.36,196,7.9,1.5,2.9,12.7,0.833695652,0.824,0.71978355,0.884427337,0.869350649,0.28021645,0.130649351,0.192302861,0.908622496
Pval<0.005,147,6.9,0.7,3.9,13.5,0.823992095,0.816,0.64284965,0.949603175,0.918887779,0.35715035,0.081112221,0.23050762,0.879729875
TP-2FP>3,214,6.6,0.1,4.2,14.1,0.818616601,0.828,0.596975108,0.992857143,0.9875,0.403024892,0.0125,0.233142938,0.855623249
TP-2FP>2,609,5.9,0.1,4.9,14.1,0.799347826,0.8,0.542711455,0.992857143,0.98,0.457288545,0.02,0.25924649,0.855451588
TP-2FP>4,80,5.7,0.1,5.1,14.1,0.797806324,0.792,0.508813131,0.992307692,0.988888889,0.491186869,0.011111111,0.265203188,0.82763209
TP3_FP0,159,5.6,0,5.2,14.2,0.795909091,0.792,0.517306027,1,1,0.482693973,0,0.269805697,0.858488178
Union,6232,6,0.4,4.8,13.8,0.795434783,0.792,0.54469697,0.974260652,0.9125,0.45530303,0.0875,0.257042035,0.933997983
AE>7.5,448,5.7,0.1,5.1,14.1,0.793043478,0.792,0.515483405,0.992307692,0.9875,0.484516595,0.0125,0.260011722,0.861710567
AE>10,175,5.5,0,5.3,14.2,0.792648221,0.788,0.510128205,1,1,0.489871795,0,0.267329981,0.83125641
AE>5,1622,5.6,0.2,5.2,14,0.785474308,0.784,0.501861472,0.985714286,0.971428571,0.498138528,0.028571429,0.269554391,0.837575196
FP=0,556,5.4,0,5.4,14.2,0.778992095,0.784,0.486098346,1,1,0.513901654,0,0.275036201,0.876717865
TP4_FP0,57,4.9,0,5.9,14.2,0.767490119,0.764,0.439697802,1,1,0.560302198,0,0.29594887,0.79396978
All,23,4.6,0,6.2,14.2,0.758577075,0.752,0.436626707,1,1,0.563373293,0,0.302204006,0.750417083
TP5_FP0,23,4.6,0,6.2,14.2,0.757747036,0.752,0.420108225,1,0.8,0.579891775,-0.1,0.300639699,0.740569986
FP<=1,2582,4.9,0.2,5.9,14,0.74513834,0.756,0.467829948,0.988888889,0.971428571,0.532170052,0.028571429,0.29343305,0.853700744
FP<=2,5941,4.6,0.4,6.2,13.8,0.73729249,0.736,0.419090909,0.973092006,0.902380952,0.580909091,0.097619048,0.308472697,0.844790469
