Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,6.6,2.4,5.4,9.6,0.675,0.55,0.8,0.890909090909091,0.45,0.10909090909090909,0.47368421052631576,0.0,0.0,5.0
Pval<0.01,4.4,0.0,7.6,12.0,0.6833333333333333,0.3666666666666667,1.0,1.0,0.6333333333333334,0.0,0.3867669172932331,0.0,0.0,3.0
Pval<0.005,4.6,0.0,7.4,12.0,0.6916666666666668,0.3833333333333334,1.0,1.0,0.6166666666666668,0.0,0.3804511278195489,0.0,0.0,3.0
Chi>3.84,5.6,0.0,6.4,12.0,0.7333333333333333,0.4666666666666667,1.0,1.0,0.5333333333333333,0.0,0.3466666666666667,0.0,0.0,10.0
Chi>7.68,3.8,0.0,8.2,12.0,0.6583333333333333,0.31666666666666665,1.0,1.0,0.6833333333333333,0.0,0.4057142857142858,0.0,0.0,4.0
Chi>15.36,3.0,0.0,9.0,12.0,0.625,0.25,1.0,1.0,0.75,0.0,0.42857142857142855,0.0,0.0,3.0
TP-2FP>2,3.8,0.0,8.2,12.0,0.6583333333333333,0.31666666666666665,1.0,1.0,0.6833333333333333,0.0,0.4057142857142857,0.0,0.0,3.0
TP-2FP>3,2.0,0.0,10.0,12.0,0.5833333333333334,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.4545454545454545,0.0,0.0,1.0
TP-2FP>4,4.0,2.4,8.0,9.6,0.5666666666666668,0.33333333333333337,0.8,0.9,0.6666666666666667,0.1,0.16363636363636364,0.0,0.0,1.0
TP3_FP0,2.0,0.0,10.0,12.0,0.5833333333333334,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.4545454545454545,0.0,0.0,1.0
TP4_FP0,4.0,2.4,8.0,9.6,0.5666666666666667,0.33333333333333337,0.8,0.9,0.6666666666666667,0.1,0.16363636363636364,0.0,0.0,1.0
FP=0,4.0,0.0,8.0,12.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.4,0.0,0.0,3.0
All,5.8,2.4,6.2,9.6,0.6416666666666667,0.4833333333333334,0.8,0.8666666666666666,0.5166666666666667,0.13333333333333333,0.4736842105263158,0.0,0.0,28.0
